stage,channel,distance,p,shots,root_seed,n00,n10,n01,n11,construction,boundary_orientation,clock,logical_x_failures,logical_x_rate,logical_x_standard_error,logical_x_wilson_low,logical_x_wilson_high,logical_z_failures,logical_z_rate,logical_z_standard_error,logical_z_wilson_low,logical_z_wilson_high,any_logical_failures
pilot,hadamard,9,0.0,2000,20260923,2000,0,0,0,bp,x_ns,gate_layer,0,0.0,0.0,1.0842021724855044e-19,0.001917047281252934,0,0.0,0.0,1.0842021724855044e-19,0.001917047281252934,0
pilot,hadamard,9,0.005,2000,20260923,1719,0,281,0,bp,x_ns,gate_layer,0,0.0,0.0,1.0842021724855044e-19,0.001917047281252934,281,0.1405,0.007770448828735699,0.12595838346176766,0.1564199735334532,281
pilot,hadamard,9,0.01,2000,20260923,1579,0,421,0,bp,x_ns,gate_layer,0,0.0,0.0,1.0842021724855044e-19,0.001917047281252934,421,0.2105,0.009115639034099584,0.19319716849694898,0.22891280187889637,421
pilot,hadamard,9,0.015,2000,20260923,1482,1,515,2,bp,x_ns,gate_layer,3,0.0015,0.0008653756409791069,0.0005102635836384819,0.004401032555770693,517,0.2585,0.00978973314243039,0.2397882531557159,0.27813768068112926,518
pilot,hadamard,9,0.02,2000,20260923,1366,5,628,1,bp,x_ns,gate_layer,6,0.003,0.0012229063741758812,0.0013756299236301083,0.006529915073935308,629,0.3145,0.010382431073693675,0.29452282583618306,0.3351883987051617,634
pilot,hadamard,9,0.025,10000,20260923,6609,44,3327,20,bp,x_ns,gate_layer,64,0.0064,0.0007974358908401352,0.005015442801028862,0.008163640390503074,3347,0.3347,0.004718854839894951,0.32551624747073904,0.3440107023906065,3391
pilot,hadamard,9,0.03,10000,20260923,6506,61,3404,29,bp,x_ns,gate_layer,90,0.009,0.0009444045743218317,0.007328320093401381,0.011048766306603034,3433,0.3433,0.004748106043466174,0.33405564807257254,0.3526646970167974,3494
pilot,hadamard,9,0.035,10000,20260923,6229,103,3595,73,bp,x_ns,gate_layer,176,0.0176,0.0013149235719234788,0.015201882893054925,0.020368598734973858,3668,0.3668,0.0048193128140845976,0.357407144263061,0.3762951529028871,3771
pilot,hadamard,9,0.04,10000,20260923,6067,159,3670,104,bp,x_ns,gate_layer,263,0.0263,0.0016002596664291707,0.023340779696836927,0.029623020359542077,3774,0.3774,0.004847362581858304,0.36794812974917646,0.3869460266513134,3933
pilot,hadamard,9,0.045,10000,20260923,5947,251,3664,138,bp,x_ns,gate_layer,389,0.0389,0.0019335663939984062,0.03528393401149463,0.042870189285943314,3802,0.3802,0.004854358454008109,0.37073335095767973,0.38975865505193424,4053
pilot,hadamard,9,0.05,10000,20260923,5679,326,3786,209,bp,x_ns,gate_layer,535,0.0535,0.0022502833154960733,0.04925849590206199,0.0580844146429522,3995,0.3995,0.004897956206419163,0.3899405398226646,0.40913664384984133,4321
pilot,hadamard,9,0.055,10000,20260923,5536,357,3841,266,bp,x_ns,gate_layer,623,0.0623,0.002416996276372804,0.05772877877310782,0.06720737340058246,4107,0.4107,0.004919608825912889,0.4010938254340767,0.4203747566749261,4464
pilot,hadamard,9,0.06,10000,20260923,5392,507,3774,327,bp,x_ns,gate_layer,834,0.0834,0.0027648587667365577,0.07813962945182852,0.08898031799061921,4101,0.4101,0.004918515934710387,0.40049619661317365,0.41977284629387396,4608
pilot,hadamard,9,0.065,10000,20260923,5173,599,3812,416,bp,x_ns,gate_layer,1015,0.1015,0.00301989652140599,0.09573329332686764,0.10757275337456162,4228,0.4228,0.004940042105083721,0.4131491538485212,0.4325101354999112,4827
pilot,hadamard,9,0.07,10000,20260923,4927,742,3797,534,bp,x_ns,gate_layer,1276,0.1276,0.0033364388200594957,0.12120339304851928,0.13428260893796065,4331,0.4331,0.004955041775807748,0.4234158169031981,0.4428355620787984,5073
