panel,kind,halfwidth,status,window,degree,distances,points,parameters,theta_internal,coefficients,p_c,nu,p_c_covariance_se,nu_covariance_se,chi_square,degrees_of_freedom,reduced_chi_square,goodness_of_fit_p,start_objective_range,jacobian_condition
y_only/x,window,0.004,fitted,"[0.024, 0.032]",2,"[9, 11, 13, 15]",20,5,"[2.626363827880687, 1.5842745542824996, 0.060031227414101496, 0.07388946262830871, 0.021163935932607396]","[0.060031227414101496, 1.6264906314492127, 10.254973776758135]",0.026263638278806872,1.5842745542824996,0.00030620901607241276,0.1471057971367317,14.531251817770004,15,0.968750121184667,0.48567818099280624,2.842170943040401e-14,594.8092794422192
y_only/x,window,0.006,fitted,"[0.022, 0.034]",2,"[9, 11, 13, 15]",28,5,"[2.621390020389936, 1.6114701313964572, 0.059667360721977515, 0.07338653568786398, 0.021334130227907505]","[0.059667360721977515, 1.6572145123083981, 10.879266712717895]",0.026213900203899358,1.6114701313964572,0.0002484473034911119,0.0902430338030439,17.2345295766943,23,0.7493273728997522,0.7975861856455562,3.197442310920451e-14,453.65818066225626
y_only/x,window,0.008,fitted,"[0.02, 0.036]",2,"[9, 11, 13, 15]",36,5,"[2.6050916167742257, 1.6249640426549845, 0.058509797867402916, 0.07210617256889891, 0.020694740445665345]","[0.058509797867402916, 1.6485465910883679, 10.817266962229365]",0.026050916167742258,1.6249640426549845,0.0002164861322264536,0.062416729368836917,27.645598293773265,31,0.8917934933475247,0.6393964380814898,4.440892098500626e-14,393.72210646649785
y_only/x,window,0.01,fitted,"[0.018, 0.038]",2,"[9, 11, 13, 15]",44,5,"[2.6068852623554446, 1.6021713455494633, 0.058498852718127346, 0.07083573880049118, 0.021058278085532997]","[0.058498852718127346, 1.585857253468387, 10.554707118644954]",0.026068852623554448,1.6021713455494633,0.0001948163563087732,0.04573457788238259,59.882655202810284,39,1.535452697507956,0.01734712967325027,1.4566126083082054e-13,389.50048324050664
y_only/x,window,0.004,fitted,"[0.024, 0.032]",3,"[9, 11, 13, 15]",20,6,"[2.618208277514192, 1.6739441798415617, 0.05971174446525256, 0.07287669617253954, 0.012913125945333559, 0.01536324740517583]","[0.05971174446525256, 1.7396807297718166, 7.358565175036555, 208.9900718490577]",0.026182082775141922,1.6739441798415617,0.0003230528108849241,0.17815363393558056,13.520909989368523,14,0.9657792849548945,0.48597808225861205,2.4868995751603507e-14,721.9705234190809
y_only/x,window,0.006,fitted,"[0.022, 0.034]",3,"[9, 11, 13, 15]",28,6,"[2.622209195847115, 1.6028769999720447, 0.05970671485254964, 0.07357592185805249, 0.02162629400414977, -0.0006795660214692878]","[0.05970671485254964, 1.6482896429175313, 10.853698112236096, -7.640558554934728]",0.026222091958471153,1.6028769999720447,0.0002511638824719714,0.10167732644603177,17.202220970644134,22,0.7819191350292788,0.7521030421586173,3.907985046680551e-14,511.38825078760476
y_only/x,window,0.008,fitted,"[0.02, 0.036]",3,"[9, 11, 13, 15]",36,6,"[2.611631883638691, 1.562395363690799, 0.058912676292202794, 0.07363586801771112, 0.021601327381478654, -0.002754724006463705]","[0.058912676292202794, 1.5869142356621533, 10.0324852481645, -27.57212444842232]",0.02611631883638691,1.562395363690799,0.00021261433011102594,0.06740512219444306,23.738064611908083,30,0.7912688203969361,0.7837439906876341,6.394884621840902e-14,425.7739247944148
y_only/x,window,0.01,fitted,"[0.018, 0.038]",3,"[9, 11, 13, 15]",44,6,"[2.616714417364576, 1.4909616882836703, 0.059342768499515516, 0.07371317594634329, 0.021417099609766614, -0.0032398253336979282]","[0.059342768499515516, 1.4759602816671158, 8.586570725536236, -26.008196598509386]",0.026167144173645764,1.4909616882836703,0.00018521135983294468,0.047091251862662525,31.36376454640058,38,0.8253622249052784,0.7682058903818177,1.1368683772161603e-13,416.5087143885225
y_only/x,distance,,fitted,"[0.022, 0.034]",2,"[11, 13, 15]",21,5,"[2.6143946298879737, 1.5818253411716838, 0.05908749701819727, 0.07286431050296974, 0.021206462072079928]","[0.05908749701819727, 1.600170065706429, 10.227530527978384]",0.026143946298879738,1.5818253411716838,0.00039655957992545254,0.1404283568158006,11.481586267679505,16,0.7175991417299691,0.7788299642136692,3.552713678800501e-14,615.9976762282056
y_only/x,distance,,fitted,"[0.022, 0.034]",2,"[9, 11, 13]",21,5,"[2.6416202094319576, 1.6498547324028618, 0.06118470433911015, 0.07432421360946892, 0.020642408084609293]","[0.06118470433911015, 1.7375114259997606, 11.281193597598609]",0.026416202094319576,1.6498547324028618,0.0003777114207009627,0.14351535345080121,14.403683681430097,16,0.9002302300893811,0.5686675749296657,4.529709940470639e-14,620.0000846079575
