L,p,shots,logical_failure_count,logical_failure_rate,logical_failure_se,batches
1,0.0,10000,0,0.0,0.0,10
1,0.01,10000,194,0.0194,0.0013792621215708057,10
1,0.02,10000,416,0.0416,0.0019967333322204045,10
1,0.03,10000,589,0.0589,0.0023543744392088527,10
1,0.04,10000,749,0.0749,0.00263229918512315,10
1,0.05,10000,940,0.094,0.002918287168871494,10
1,0.06,10000,1160,0.116,0.0032022492095400697,10
1,0.07,10000,1308,0.1308,0.003371814941541128,10
1,0.08,10000,1511,0.1511,0.0035814632484502756,10
1,0.09,10000,1604,0.1604,0.0036697662050871847,10
1,0.1,10000,1771,0.1771,0.003817533103982204,10
1,0.11,10000,1946,0.1946,0.003958924601454289,10
1,0.12,10000,2166,0.2166,0.004119277121049274,10
1,0.13,10000,2300,0.23,0.004208325082500163,10
1,0.14,10000,2394,0.2394,0.0042671728345592,10
1,0.15,10000,2522,0.2522,0.004342754425476992,10
1,0.16,10000,2667,0.2667,0.0044223422526982244,10
3,0.0,10000,0,0.0,0.0,10
3,0.01,10000,34,0.0034,0.0005821030836544331,10
3,0.02,10000,159,0.0159,0.0012508872850900677,10
3,0.03,10000,286,0.0286,0.0016667945284287442,10
3,0.04,10000,431,0.0431,0.0020308222472683324,10
3,0.05,10000,704,0.0704,0.0025581993667421624,10
3,0.06,10000,946,0.0946,0.0029266164764109423,10
3,0.07,10000,1193,0.1193,0.003241411883732149,10
3,0.08,10000,1544,0.1544,0.003613317589141591,10
3,0.09,10000,1688,0.1688,0.00374575172695682,10
3,0.1,10000,2041,0.2041,0.004030424171225655,10
3,0.11,10000,2328,0.2328,0.004226158539383017,10
3,0.12,10000,2576,0.2576,0.004373125198299266,10
3,0.13,10000,2821,0.2821,0.004500217661402612,10
3,0.14,10000,3020,0.302,0.004591252552408765,10
3,0.15,10000,3189,0.3189,0.004660502011586306,10
3,0.16,10000,3433,0.3433,0.004748106043466174,10
5,0.0,10000,0,0.0,0.0,10
5,0.01,10000,50,0.005,0.0007053367989832942,10
5,0.02,10000,146,0.0146,0.0011994515413304534,10
5,0.03,10000,332,0.0332,0.0017915847733222115,10
5,0.04,10000,658,0.0658,0.0024793216814282086,10
5,0.05,10000,928,0.0928,0.0029015196018638235,10
5,0.06,10000,1291,0.1291,0.0033531058736639974,10
5,0.07,10000,1571,0.1571,0.0036389502607208028,10
5,0.08,10000,1955,0.1955,0.003965851106635245,10
5,0.09,10000,2294,0.2294,0.004204469526587153,10
5,0.1,10000,2681,0.2681,0.004429699651217901,10
5,0.11,10000,2957,0.2957,0.0045635677928568125,10
5,0.12,10000,3232,0.3232,0.004676983643332527,10
5,0.13,10000,3483,0.3483,0.004764316425259767,10
5,0.14,10000,3802,0.3802,0.004854358454008109,10
5,0.15,10000,3949,0.3949,0.004888292033011121,10
5,0.16,10000,4206,0.4206,0.004936553858715612,10
