d,p,shots,logical_failure_count,logical_failure_rate,logical_failure_se,batches,diagnostic_only,seed
13,0.06,100000,705,0.00705,0.0002645807532682602,100,false,1234
13,0.065,100000,1152,0.01152,0.00033745058304883696,100,false,1234
13,0.07,100000,1784,0.01784,0.0004185897084258045,100,false,1234
13,0.075,100000,2678,0.02678,0.000510517694110596,100,false,1234
13,0.08,100000,4036,0.04036,0.0006223429151199523,100,false,1234
13,0.085,100000,5501,0.05501,0.0007209986123426314,100,false,1234
13,0.09,100000,7524,0.07524,0.0008341399307070727,100,false,1234
13,0.095,100000,9627,0.09627,0.0009327490932721404,100,false,1234
13,0.1,100000,12137,0.12137,0.0010326631740311069,100,false,1234
13,0.105,100000,14831,0.14831,0.0011238956530746083,100,false,1234
13,0.11,100000,17505,0.17505,0.00120169670674426,100,false,1234
13,0.115,100000,20511,0.20511,0.001276870736997289,100,false,1234
13,0.12,100000,23646,0.23646,0.0013436765548300678,100,false,1234
13,0.125,100000,26570,0.2657,0.001396794580459131,100,false,1234
13,0.13,100000,29391,0.29391,0.0014405794386287763,100,false,1234
13,0.135,100000,32054,0.32054,0.001475784904381394,100,false,1234
13,0.14,100000,34638,0.34638,0.0015046624059901277,100,false,1234
13,0.145,100000,36687,0.36687,0.001524061688712107,100,false,1234
13,0.15,100000,38877,0.38877,0.0015415183654436295,100,false,1234
13,0.155,100000,40797,0.40797,0.001554125088594866,100,false,1234
13,0.16,100000,42249,0.42249,0.0015620249674701105,100,false,1234
15,0.06,100000,425,0.00425,0.00020571673485645256,100,false,1234
15,0.065,100000,825,0.00825,0.0002860408624654876,100,false,1234
15,0.07,100000,1400,0.014,0.0003715373467095872,100,false,1234
15,0.075,100000,2307,0.02307,0.0004747396665542074,100,false,1234
15,0.08,100000,3471,0.03471,0.0005788369018989718,100,false,1234
15,0.085,100000,5131,0.05131,0.0006976910770534478,100,false,1234
15,0.09,100000,7027,0.07027,0.0008082829151973954,100,false,1234
15,0.095,100000,9298,0.09298,0.0009183393686432047,100,false,1234
15,0.1,100000,12079,0.12079,0.0010305327549379496,100,false,1234
15,0.105,100000,15100,0.151,0.0011322499724000879,100,false,1234
15,0.11,100000,18261,0.18261,0.0012217347825939965,100,false,1234
15,0.115,100000,21676,0.21676,0.0013029777526880496,100,false,1234
15,0.12,100000,24970,0.2497,0.0013687582328519526,100,false,1234
15,0.125,100000,28143,0.28143,0.0014220659446734529,100,false,1234
15,0.13,100000,31304,0.31304,0.0014664445383307204,100,false,1234
15,0.135,100000,33993,0.33993,0.0014979238802422506,100,false,1234
15,0.14,100000,36721,0.36721,0.0015243582777680579,100,false,1234
15,0.145,100000,38974,0.38974,0.0015422150706046157,100,false,1234
15,0.15,100000,41185,0.41185,0.0015563726337224,100,false,1234
15,0.155,100000,42696,0.42696,0.00156417760628389,100,false,1234
15,0.16,100000,44263,0.44263,0.0015706962885930558,100,false,1234
