d,p,batch,batch_shots,failure_count,failure_rate
7,0.0,1,1000,0,0.0
7,0.0,2,1000,0,0.0
7,0.0,3,1000,0,0.0
7,0.0,4,1000,0,0.0
7,0.0,5,1000,0,0.0
7,0.0,6,1000,0,0.0
7,0.0,7,1000,0,0.0
7,0.0,8,1000,0,0.0
7,0.0,9,1000,0,0.0
7,0.0,10,1000,0,0.0
7,0.0,11,1000,0,0.0
7,0.0,12,1000,0,0.0
7,0.0,13,1000,0,0.0
7,0.0,14,1000,0,0.0
7,0.0,15,1000,0,0.0
7,0.0,16,1000,0,0.0
7,0.0,17,1000,0,0.0
7,0.0,18,1000,0,0.0
7,0.0,19,1000,0,0.0
7,0.0,20,1000,0,0.0
7,0.0,21,1000,0,0.0
7,0.0,22,1000,0,0.0
7,0.0,23,1000,0,0.0
7,0.0,24,1000,0,0.0
7,0.0,25,1000,0,0.0
7,0.0,26,1000,0,0.0
7,0.0,27,1000,0,0.0
7,0.0,28,1000,0,0.0
7,0.0,29,1000,0,0.0
7,0.0,30,1000,0,0.0
7,0.0,31,1000,0,0.0
7,0.0,32,1000,0,0.0
7,0.0,33,1000,0,0.0
7,0.0,34,1000,0,0.0
7,0.0,35,1000,0,0.0
7,0.0,36,1000,0,0.0
7,0.0,37,1000,0,0.0
7,0.0,38,1000,0,0.0
7,0.0,39,1000,0,0.0
7,0.0,40,1000,0,0.0
7,0.0,41,1000,0,0.0
7,0.0,42,1000,0,0.0
7,0.0,43,1000,0,0.0
7,0.0,44,1000,0,0.0
7,0.0,45,1000,0,0.0
7,0.0,46,1000,0,0.0
7,0.0,47,1000,0,0.0
7,0.0,48,1000,0,0.0
7,0.0,49,1000,0,0.0
7,0.0,50,1000,0,0.0
7,0.0,51,1000,0,0.0
7,0.0,52,1000,0,0.0
7,0.0,53,1000,0,0.0
7,0.0,54,1000,0,0.0
7,0.0,55,1000,0,0.0
7,0.0,56,1000,0,0.0
7,0.0,57,1000,0,0.0
7,0.0,58,1000,0,0.0
7,0.0,59,1000,0,0.0
7,0.0,60,1000,0,0.0
7,0.0,61,1000,0,0.0
7,0.0,62,1000,0,0.0
7,0.0,63,1000,0,0.0
7,0.0,64,1000,0,0.0
7,0.0,65,1000,0,0.0
7,0.0,66,1000,0,0.0
7,0.0,67,1000,0,0.0
7,0.0,68,1000,0,0.0
7,0.0,69,1000,0,0.0
7,0.0,70,1000,0,0.0
7,0.0,71,1000,0,0.0
7,0.0,72,1000,0,0.0
7,0.0,73,1000,0,0.0
7,0.0,74,1000,0,0.0
7,0.0,75,1000,0,0.0
7,0.0,76,1000,0,0.0
7,0.0,77,1000,0,0.0
7,0.0,78,1000,0,0.0
7,0.0,79,1000,0,0.0
7,0.0,80,1000,0,0.0
7,0.0,81,1000,0,0.0
7,0.0,82,1000,0,0.0
7,0.0,83,1000,0,0.0
7,0.0,84,1000,0,0.0
7,0.0,85,1000,0,0.0
7,0.0,86,1000,0,0.0
7,0.0,87,1000,0,0.0
7,0.0,88,1000,0,0.0
7,0.0,89,1000,0,0.0
7,0.0,90,1000,0,0.0
7,0.0,91,1000,0,0.0
7,0.0,92,1000,0,0.0
7,0.0,93,1000,0,0.0
7,0.0,94,1000,0,0.0
7,0.0,95,1000,0,0.0
7,0.0,96,1000,0,0.0
7,0.0,97,1000,0,0.0
7,0.0,98,1000,0,0.0
7,0.0,99,1000,0,0.0
7,0.0,100,1000,0,0.0
7,0.005,1,1000,0,0.0
7,0.005,2,1000,0,0.0
7,0.005,3,1000,0,0.0
7,0.005,4,1000,0,0.0
7,0.005,5,1000,0,0.0
7,0.005,6,1000,0,0.0
7,0.005,7,1000,0,0.0
7,0.005,8,1000,0,0.0
7,0.005,9,1000,0,0.0
7,0.005,10,1000,0,0.0
7,0.005,11,1000,0,0.0
7,0.005,12,1000,0,0.0
7,0.005,13,1000,0,0.0
7,0.005,14,1000,0,0.0
7,0.005,15,1000,0,0.0
7,0.005,16,1000,0,0.0
7,0.005,17,1000,0,0.0
7,0.005,18,1000,0,0.0
7,0.005,19,1000,0,0.0
7,0.005,20,1000,0,0.0
7,0.005,21,1000,0,0.0
7,0.005,22,1000,0,0.0
7,0.005,23,1000,0,0.0
7,0.005,24,1000,0,0.0
7,0.005,25,1000,0,0.0
7,0.005,26,1000,0,0.0
7,0.005,27,1000,0,0.0
7,0.005,28,1000,0,0.0
7,0.005,29,1000,0,0.0
7,0.005,30,1000,0,0.0
7,0.005,31,1000,0,0.0
7,0.005,32,1000,0,0.0
7,0.005,33,1000,0,0.0
7,0.005,34,1000,0,0.0
7,0.005,35,1000,0,0.0
7,0.005,36,1000,0,0.0
7,0.005,37,1000,0,0.0
7,0.005,38,1000,0,0.0
7,0.005,39,1000,0,0.0
7,0.005,40,1000,0,0.0
7,0.005,41,1000,0,0.0
7,0.005,42,1000,0,0.0
7,0.005,43,1000,0,0.0
7,0.005,44,1000,0,0.0
7,0.005,45,1000,0,0.0
7,0.005,46,1000,0,0.0
7,0.005,47,1000,0,0.0
7,0.005,48,1000,0,0.0
7,0.005,49,1000,0,0.0
7,0.005,50,1000,0,0.0
7,0.005,51,1000,0,0.0
7,0.005,52,1000,0,0.0
7,0.005,53,1000,0,0.0
7,0.005,54,1000,0,0.0
7,0.005,55,1000,0,0.0
7,0.005,56,1000,0,0.0
7,0.005,57,1000,0,0.0
7,0.005,58,1000,0,0.0
7,0.005,59,1000,0,0.0
7,0.005,60,1000,0,0.0
7,0.005,61,1000,0,0.0
7,0.005,62,1000,0,0.0
7,0.005,63,1000,0,0.0
7,0.005,64,1000,0,0.0
7,0.005,65,1000,0,0.0
7,0.005,66,1000,0,0.0
7,0.005,67,1000,0,0.0
7,0.005,68,1000,0,0.0
7,0.005,69,1000,0,0.0
7,0.005,70,1000,0,0.0
7,0.005,71,1000,0,0.0
7,0.005,72,1000,0,0.0
7,0.005,73,1000,0,0.0
7,0.005,74,1000,0,0.0
7,0.005,75,1000,0,0.0
7,0.005,76,1000,0,0.0
7,0.005,77,1000,0,0.0
7,0.005,78,1000,0,0.0
7,0.005,79,1000,0,0.0
7,0.005,80,1000,0,0.0
7,0.005,81,1000,0,0.0
7,0.005,82,1000,0,0.0
7,0.005,83,1000,0,0.0
7,0.005,84,1000,0,0.0
7,0.005,85,1000,0,0.0
7,0.005,86,1000,0,0.0
7,0.005,87,1000,0,0.0
7,0.005,88,1000,0,0.0
7,0.005,89,1000,0,0.0
7,0.005,90,1000,0,0.0
7,0.005,91,1000,0,0.0
7,0.005,92,1000,0,0.0
7,0.005,93,1000,0,0.0
7,0.005,94,1000,0,0.0
7,0.005,95,1000,0,0.0
7,0.005,96,1000,0,0.0
7,0.005,97,1000,0,0.0
7,0.005,98,1000,0,0.0
7,0.005,99,1000,0,0.0
7,0.005,100,1000,0,0.0
7,0.01,1,1000,0,0.0
7,0.01,2,1000,0,0.0
7,0.01,3,1000,0,0.0
7,0.01,4,1000,0,0.0
7,0.01,5,1000,0,0.0
7,0.01,6,1000,0,0.0
7,0.01,7,1000,0,0.0
7,0.01,8,1000,0,0.0
7,0.01,9,1000,0,0.0
7,0.01,10,1000,0,0.0
7,0.01,11,1000,0,0.0
7,0.01,12,1000,0,0.0
7,0.01,13,1000,0,0.0
7,0.01,14,1000,0,0.0
7,0.01,15,1000,0,0.0
7,0.01,16,1000,0,0.0
7,0.01,17,1000,0,0.0
7,0.01,18,1000,0,0.0
7,0.01,19,1000,0,0.0
7,0.01,20,1000,0,0.0
7,0.01,21,1000,0,0.0
7,0.01,22,1000,0,0.0
7,0.01,23,1000,0,0.0
7,0.01,24,1000,0,0.0
7,0.01,25,1000,0,0.0
7,0.01,26,1000,0,0.0
7,0.01,27,1000,0,0.0
7,0.01,28,1000,0,0.0
7,0.01,29,1000,0,0.0
