p_c,nu,loss,delta_loss,log10_one_plus_delta_loss
0.08,0.25,50189.9067973811,50163.34933544868,4.700395183534339
0.08,0.29791666666666666,42982.28696327645,42955.72950134402,4.633031209060509
0.08,0.3458333333333333,36564.499124124835,36537.94166219241,4.562755964009232
0.08,0.39375,31054.03493244159,31027.477470509166,4.491760465807211
0.08,0.44166666666666665,26424.270818286743,26397.713356354318,4.421582760360267
0.08,0.4895833333333333,22564.252458981005,22537.69499704858,4.352928766546464
0.08,0.5375,19339.653980285882,19313.096518353457,4.28587439737492
0.08,0.5854166666666667,16627.470297694552,16600.912835762127,4.2201581293748
0.08,0.6333333333333333,14327.723552340469,14301.166090408044,4.1554018171763145
0.08,0.68125,12363.238070889305,12336.68060895688,4.091233523278442
0.08,0.7291666666666666,10675.311878770803,10648.754416838377,4.0273395930666185
0.08,0.7770833333333333,9218.978726748637,9192.421264816212,3.963477160997091
0.08,0.825,7959.121441658048,7932.563979725623,3.8994683284292067
0.08,0.8729166666666667,6867.633327870268,6841.0758659378425,3.8351878853964716
0.08,0.9208333333333333,5921.4622796678705,5894.904817735445,3.7705504637475453
0.08,0.96875,5101.301560945111,5074.744099012686,3.7054997183895293
0.08,1.0166666666666666,4390.720561494703,4364.163099562278,3.6400004752847908
0.08,1.0645833333333334,3775.5812554764734,3749.023793544048,3.574034023293613
0.08,1.1125,3243.6345217930866,3217.0770598606614,3.507596439474497
0.08,1.1604166666666667,2784.227740752505,2757.6702788200796,3.4406997959318164
0.08,1.2083333333333333,2388.0811819626642,2361.523720030239,3.373376177573482
0.08,1.25625,2047.1078623249373,2020.5504003925118,3.305684573440899
0.08,1.3041666666666667,1754.26227160334,1727.7048096709145,3.2377208403092244
0.08,1.3520833333333333,1503.4097441433162,1476.8522822108907,3.1696310265982053
0.08,1.4,1289.2118746454632,1262.6544127130378,3.1016283182716
0.08,1.4479166666666667,1107.025323666276,1080.4678617338507,3.034013617923022
0.08,1.4958333333333333,952.8123455768971,926.2548836444716,2.9671991293387556
0.08,1.54375,823.0618381130819,796.5043761806564,2.9017330748588694
0.08,1.5916666666666666,714.7199172999728,688.1624553675474,2.838321609648249
0.08,1.6395833333333334,625.1291085181107,598.5716465856852,2.777841087113983
0.08,1.6875,551.9752886250807,525.4178266926552,2.721330587868742
0.08,1.7354166666666666,493.24155050678,466.6840885743546,2.669952594706655
0.08,1.7833333333333334,447.16820391705227,420.6107419846268,2.624911667492006
0.08,1.83125,412.2181780001102,385.66071606768475,2.587330050889529
0.08,1.8791666666666667,387.0471498215954,360.48968788916994,2.5580959128153133
0.08,1.9270833333333333,370.4777863798469,343.9203244474215,2.5377187859455237
0.08,1.975,361.4775517321298,334.9200897997044,2.5262359777274983
0.08,2.0229166666666667,359.139593453168,332.58213152074256,2.5232027794064185
0.08,2.0708333333333333,362.6662818013762,336.1088198689508,2.527770115233247
0.08,2.11875,371.3550295564004,344.79756762397494,2.5388219340761315
0.08,2.1666666666666665,384.58606992871825,358.0286079962928,2.5551290552633357
0.08,2.214583333333333,401.81191406396175,375.2544521315363,2.575481647538031
0.08,2.2625,422.54824859260117,395.99078666017573,2.5987804277981876
0.08,2.310416666666667,446.3660677117983,419.80860577937284,2.62408461280984
0.08,2.3583333333333334,472.88486383368644,446.327401901261,2.6506255025321694
0.08,2.40625,501.76672634224656,475.2092644098211,2.6777978401300238
0.08,2.4541666666666666,532.7112199256235,506.15375799319804,2.7051396479416554
0.08,2.502083333333333,565.4509327325674,538.8934708001419,2.7323080753641564
0.08,2.55,599.7476006505672,573.1901387181417,2.759055729544898
0.08,2.597916666666667,635.3887276912834,608.831265758858,2.785209686671631
0.08,2.6458333333333335,672.1846341285667,645.6271721961413,2.810653950332605
0.08,2.69375,709.965873957759,683.4084120253335,2.8353153387909398
0.08,2.7416666666666667,748.580971687264,722.0235097548385,2.859152418996881
0.08,2.7895833333333333,787.8944356546085,761.3369737221831,2.882146983779103
0.08,2.8375,827.7850111690476,801.2275492366222,2.9042975719762283
0.08,2.8854166666666665,868.1441419827835,841.586680050358,2.925614589342986
0.08,2.933333333333333,908.8746130216001,882.3171510891747,2.9461166630770883
0.08,2.98125,949.8893510800341,923.3318891476086,2.9658279363125293
0.08,3.029166666666667,991.1103634059906,964.5529014735652,2.9847760732357256
0.08,3.0770833333333334,1032.4677968490969,1005.9103349166714,3.0029907984734767
0.08,3.125,1073.8991025974644,1047.341640665039,3.0205028365376423
0.08,3.1729166666666666,1115.3482935391833,1088.7908316067578,3.0373431498707673
0.08,3.220833333333333,1156.7652830088618,1130.2078210764364,3.0535423991389954
0.08,3.26875,1198.1052951589218,1171.5478332264963,3.069130568472485
0.08,3.316666666666667,1239.3283384665297,1212.7708765341042,3.0841367127291126
0.08,3.3645833333333335,1280.3987349810586,1253.8412730486332,3.098588794662693
0.08,3.4125,1321.2846988595973,1294.7272369271718,3.112513587981369
0.08,3.4604166666666667,1361.9579585516979,1335.4004966192724,3.1259366283541286
0.08,3.5083333333333333,1402.3934176976768,1375.8359557652514,3.1388821989715545
0.08,3.55625,1442.5688504135958,1416.0113884811703,3.1513733406741746
0.08,3.6041666666666665,1482.4646271636793,1455.9071652312539,3.1634318792152225
0.08,3.652083333333333,1522.063467879193,1495.5060059467676,3.175078464139328
0.08,3.7,1561.3502193812415,1534.792757448816,3.186332615194979
0.08,3.747916666666667,1600.3116545118871,1573.7541925794617,3.197212773276364
0.08,3.7958333333333334,1638.9362906808415,1612.378828748416,3.207736353699009
0.08,3.84375,1677.2142257991125,1650.656763866687,3.2179198002201304
0.08,3.8916666666666666,1715.1369898026112,1688.5795278701858,3.2277786386692515
0.08,3.939583333333333,1752.6974101711808,1726.1399482387553,3.2373275293945345
0.08,3.9875,1789.889490026445,1763.3320280940195,3.2465803179839945
