step,p_c,nu,loss,initial_p_c,initial_nu,converged,evaluations,boundary_hit
1,0.1,1.25,46.429235174935485,0.1,1.25,true,71,false
2,0.0984,1.332030710683586,40.292470239095444,0.1,1.25,true,71,false
3,0.0968,1.3750432239502772,36.22575052600552,0.1,1.25,true,71,false
4,0.0968,1.290363665155867,30.758388251202835,0.1,1.25,true,71,false
5,0.0984,1.290363665155867,29.555290044707014,0.1,1.25,true,71,false
6,0.0972,1.332030710683586,28.732617049169516,0.1,1.25,true,71,false
7,0.0973,1.3006566134116004,26.603512651922422,0.1,1.25,true,71,false
8,0.097925,1.272546618468157,26.599828693120855,0.1,1.25,true,71,false
9,0.09771875,1.2948567690633275,26.36647052771902,0.1,1.25,true,71,false
10,0.0975609375,1.2921269507437825,26.264210686094906,0.1,1.25,true,71,false
11,0.09769521484374999,1.2911949145985873,26.2406024193242,0.1,1.25,true,71,false
12,0.0977052490234375,1.2873111705381164,26.228263459283163,0.1,1.25,true,71,false
13,0.09768156585693358,1.2900963457262014,26.224832925038747,0.1,1.25,true,71,false
14,0.0976619960784912,1.289695353149294,26.223650507414064,0.1,1.25,true,71,false
15,0.09768851499557495,1.2886028541613817,26.22341461731518,0.1,1.25,true,71,false
16,0.09767841069698333,1.2896225798341439,26.22290631637014,0.1,1.25,true,71,false
17,0.09767272946238517,1.2894039517385032,26.222882028146753,0.1,1.25,true,71,false
18,0.0976820425376296,1.2890579772844426,26.222806993977855,0.1,1.25,true,71,false
19,0.09767789834849536,1.2894267515018105,26.222710465176718,0.1,1.25,true,71,false
20,0.09767767348663764,1.2893713239071296,26.222705363373663,0.1,1.25,true,71,false
21,0.09767958975342772,1.2892875425501362,26.222699409001713,0.1,1.25,true,71,false
22,0.0976801812510541,1.289294309310073,26.22269795246756,0.1,1.25,true,71,false
23,0.09767907524325246,1.289334507779629,26.222696901975986,0.1,1.25,true,71,false
24,0.09767977130984418,1.2893127418453143,26.22269677957162,0.1,1.25,true,71,false
25,0.0976795353852822,1.2893257331401191,26.2226966186254,0.1,1.25,true,71,false
26,0.09767936429540783,1.2893268726053846,26.222696537709133,0.1,1.25,true,71,false
27,0.0976795062327043,1.2893216447685292,26.22269652195524,0.1,1.25,true,71,false
28,0.09767943526405606,1.2893242586843072,26.222696516444987,0.1,1.25,true,71,false
