d,p,shots,logical_failure_count,logical_failure_rate,logical_failure_se,batches,diagnostic_only,seed
9,0.06,100000,1502,0.01502,0.000384634886613266,100,false,1234
9,0.065,100000,2228,0.02228,0.00046672906059083143,100,false,1234
9,0.07,100000,2967,0.02967,0.0005365602584985213,100,false,1234
9,0.075,100000,4023,0.04023,0.0006213819043068442,100,false,1234
9,0.08,100000,5207,0.05207,0.0007025575784232919,100,false,1234
9,0.085,100000,6706,0.06706,0.0007909674860574232,100,false,1234
9,0.09,100000,8020,0.0802,0.000858882762663217,100,false,1234
9,0.095,100000,9942,0.09942,0.0009462328656308657,100,false,1234
9,0.1,100000,12021,0.12021,0.0010283946513863246,100,false,1234
9,0.105,100000,13910,0.1391,0.001094308868647239,100,false,1234
9,0.11,100000,16083,0.16083,0.0011617388308049275,100,false,1234
9,0.115,100000,18228,0.18228,0.0012208767407072673,100,false,1234
9,0.12,100000,20450,0.2045,0.0012754597210417897,100,false,1234
9,0.125,100000,23052,0.23052,0.0013318428195549202,100,false,1234
9,0.13,100000,24812,0.24812,0.0013658567479790844,100,false,1234
9,0.135,100000,26975,0.26975,0.0014035132258015954,100,false,1234
9,0.14,100000,29164,0.29164,0.0014373103714925319,100,false,1234
9,0.145,100000,31282,0.31282,0.0014661638639660985,100,false,1234
9,0.15,100000,33004,0.33004,0.0014869888984118207,100,false,1234
9,0.155,100000,35038,0.35038,0.0015086876933282116,100,false,1234
9,0.16,100000,36798,0.36798,0.0015250269492700775,100,false,1234
11,0.06,100000,995,0.00995,0.0003138629876235808,100,false,1234
11,0.065,100000,1580,0.0158,0.00039433944768435227,100,false,1234
11,0.07,100000,2371,0.02371,0.00048112197933580206,100,false,1234
11,0.075,100000,3320,0.0332,0.0005665488504974659,100,false,1234
11,0.08,100000,4572,0.04572,0.0006605276799650412,100,false,1234
11,0.085,100000,6163,0.06163,0.0007604718476051562,100,false,1234
11,0.09,100000,7705,0.07705,0.0008432870063033107,100,false,1234
11,0.095,100000,9853,0.09853,0.000942453389298378,100,false,1234
11,0.1,100000,11876,0.11876,0.0010230154563837246,100,false,1234
11,0.105,100000,14379,0.14379,0.0011095694475786542,100,false,1234
11,0.11,100000,16828,0.16828,0.001183054696960373,100,false,1234
11,0.115,100000,19532,0.19532,0.001253674988184737,100,false,1234
11,0.12,100000,22075,0.22075,0.001311561807540918,100,false,1234
11,0.125,100000,24772,0.24772,0.0013651183157514224,100,false,1234
11,0.13,100000,27155,0.27155,0.001406451554444731,100,false,1234
11,0.135,100000,29528,0.29528,0.001442531530331313,100,false,1234
11,0.14,100000,31703,0.31703,0.0014714685830829008,100,false,1234
11,0.145,100000,34127,0.34127,0.0014993491491310487,100,false,1234
11,0.15,100000,36161,0.36161,0.0015193689739493826,100,false,1234
11,0.155,100000,37889,0.37889,0.0015340546531985098,100,false,1234
11,0.16,100000,39847,0.39847,0.0015481978526661248,100,false,1234
13,0.06,100000,614,0.00614,0.0002470283465515648,100,false,1234
13,0.065,100000,1140,0.0114,0.00033570880238683047,100,false,1234
13,0.07,100000,1848,0.01848,0.0004258930569990546,100,false,1234
13,0.075,100000,2787,0.02787,0.0005205118932358799,100,false,1234
13,0.08,100000,3932,0.03932,0.000614605056926804,100,false,1234
13,0.085,100000,5536,0.05536,0.0007231546888460312,100,false,1234
13,0.09,100000,7263,0.07263,0.0008207002077494558,100,false,1234
13,0.095,100000,9589,0.09589,0.0009311020776477733,100,false,1234
13,0.1,100000,11981,0.11981,0.0010269155948762294,100,false,1234
13,0.105,100000,14817,0.14817,0.0011234573917154134,100,false,1234
13,0.11,100000,17648,0.17648,0.0012055488774827838,100,false,1234
13,0.115,100000,20715,0.20715,0.001281557168057672,100,false,1234
13,0.12,100000,23398,0.23398,0.0013387806377446606,100,false,1234
13,0.125,100000,26234,0.26234,0.0013911064819056808,100,false,1234
13,0.13,100000,29285,0.29285,0.0014390582945106845,100,false,1234
13,0.135,100000,32161,0.32161,0.0014770816087813158,100,false,1234
13,0.14,100000,34525,0.34525,0.0015035040322526575,100,false,1234
13,0.145,100000,36837,0.36837,0.0015253640322886862,100,false,1234
13,0.15,100000,39028,0.39028,0.0015426001478024045,100,false,1234
13,0.155,100000,40818,0.40818,0.001554249296605921,100,false,1234
13,0.16,100000,42293,0.42293,0.001562242667129534,100,false,1234
