d,p,shots,logical_failure_count,logical_failure_rate,logical_failure_se,batches,diagnostic_only,seed
3,0.06,100000,4000,0.04,0.0006196773353931866,100,false,1234
3,0.065,100000,4619,0.04619,0.000663750584933829,100,false,1234
3,0.07,100000,5163,0.05163,0.0006997452615059283,100,false,1234
3,0.075,100000,5984,0.05984,0.0007500611601729555,100,false,1234
3,0.08,100000,6457,0.06457,0.0007771789697360577,100,false,1234
3,0.085,100000,7298,0.07298,0.0008225200277196902,100,false,1234
3,0.09,100000,8052,0.08052,0.0008604448244948655,100,false,1234
3,0.095,100000,8811,0.08811,0.0008963628054532383,100,false,1234
3,0.1,100000,9682,0.09682,0.0009351250590161725,100,false,1234
3,0.105,100000,10393,0.10393,0.0009650313730651455,100,false,1234
3,0.11,100000,11271,0.11271,0.0010000322789790338,100,false,1234
3,0.115,100000,11926,0.11926,0.001024875857848159,100,false,1234
3,0.12,100000,12737,0.12737,0.0010542622211764966,100,false,1234
3,0.125,100000,13376,0.13376,0.0010764212112365679,100,false,1234
3,0.13,100000,14484,0.14484,0.0011129302511837837,100,false,1234
3,0.135,100000,15285,0.15285,0.0011379230092585352,100,false,1234
3,0.14,100000,15972,0.15972,0.0011584883322675286,100,false,1234
3,0.145,100000,16913,0.16913,0.0011854325923476205,100,false,1234
3,0.15,100000,17787,0.17787,0.0012092653269650958,100,false,1234
3,0.155,100000,18631,0.18631,0.001231253767100836,100,false,1234
3,0.16,100000,19652,0.19652,0.001256582228109247,100,false,1234
5,0.06,100000,3200,0.032,0.0005565608681896348,100,false,1234
5,0.065,100000,3691,0.03691,0.0005962185161499095,100,false,1234
5,0.07,100000,4593,0.04593,0.0006619700529480166,100,false,1234
5,0.075,100000,5492,0.05492,0.0007204428749040412,100,false,1234
5,0.08,100000,6323,0.06323,0.0007696230707300815,100,false,1234
5,0.085,100000,7464,0.07464,0.0008310768339931032,100,false,1234
5,0.09,100000,8472,0.08472,0.0008805823164247622,100,false,1234
5,0.095,100000,9803,0.09803,0.0009403197280712555,100,false,1234
5,0.1,100000,11074,0.11074,0.0009923540315834869,100,false,1234
5,0.105,100000,12084,0.12084,0.001030716713748254,100,false,1234
5,0.11,100000,13283,0.13283,0.0010732482988572588,100,false,1234
5,0.115,100000,14640,0.1464,0.0011178865774308232,100,false,1234
5,0.12,100000,16175,0.16175,0.0011644180413408235,100,false,1234
5,0.125,100000,17503,0.17503,0.0012016426219970727,100,false,1234
5,0.13,100000,18710,0.1871,0.0012332622997562196,100,false,1234
5,0.135,100000,20102,0.20102,0.0012673237928800991,100,false,1234
5,0.14,100000,21351,0.21351,0.0012958529233674631,100,false,1234
5,0.145,100000,22874,0.22874,0.0013282244253137343,100,false,1234
5,0.15,100000,24186,0.24186,0.0013541186816523876,100,false,1234
5,0.155,100000,25563,0.25563,0.0013794321407738766,100,false,1234
5,0.16,100000,26737,0.26737,0.0013995830918527132,100,false,1234
7,0.06,100000,2162,0.02162,0.00045991929291996437,100,false,1234
7,0.065,100000,2970,0.0297,0.0005368231552382964,100,false,1234
7,0.07,100000,3922,0.03922,0.0006138549633260286,100,false,1234
7,0.075,100000,4864,0.04864,0.0006802510595361098,100,false,1234
7,0.08,100000,5918,0.05918,0.0007461750974134691,100,false,1234
7,0.085,100000,7073,0.07073,0.0008107235478262612,100,false,1234
7,0.09,100000,8478,0.08478,0.000880865208757844,100,false,1234
7,0.095,100000,9927,0.09927,0.000945597520618577,100,false,1234
7,0.1,100000,11537,0.11537,0.0010102463219433169,100,false,1234
7,0.105,100000,13216,0.13216,0.00107095160674981,100,false,1234
7,0.11,100000,14996,0.14996,0.0011290349790861222,100,false,1234
7,0.115,100000,16610,0.1661,0.001176906071018414,100,false,1234
7,0.12,100000,18358,0.18358,0.0012242482738399102,100,false,1234
7,0.125,100000,20522,0.20522,0.0012771247065185138,100,false,1234
7,0.13,100000,22046,0.22046,0.0013109438904850199,100,false,1234
7,0.135,100000,24131,0.24131,0.0013530686749016103,100,false,1234
7,0.14,100000,25879,0.25879,0.0013849828009762433,100,false,1234
7,0.145,100000,27597,0.27597,0.0014135436289694067,100,false,1234
7,0.15,100000,29419,0.29419,0.0014409796802869915,100,false,1234
7,0.155,100000,30930,0.3093,0.0014616207100338994,100,false,1234
7,0.16,100000,32487,0.32487,0.0014809776605337434,100,false,1234
9,0.06,100000,1524,0.01524,0.00038739827568021,100,false,1234
9,0.065,100000,2135,0.02135,0.00045710149310629035,100,false,1234
9,0.07,100000,2970,0.0297,0.0005368231552382964,100,false,1234
9,0.075,100000,3923,0.03923,0.0006139300212564947,100,false,1234
9,0.08,100000,5282,0.05282,0.000707319217892459,100,false,1234
9,0.085,100000,6578,0.06578,0.0007839195851616415,100,false,1234
9,0.09,100000,8100,0.081,0.0008627803892068943,100,false,1234
9,0.095,100000,10015,0.10015,0.0009493154243980238,100,false,1234
9,0.1,100000,11866,0.11866,0.0010226426765982339,100,false,1234
9,0.105,100000,13766,0.13766,0.0010895399230868045,100,false,1234
9,0.11,100000,15975,0.15975,0.0011585764433130858,100,false,1234
9,0.115,100000,18113,0.18113,0.001217874883146869,100,false,1234
9,0.12,100000,20509,0.20509,0.0012768245451118176,100,false,1234
9,0.125,100000,22585,0.22585,0.001322277495460011,100,false,1234
9,0.13,100000,24983,0.24983,0.0013689958769112491,100,false,1234
9,0.135,100000,27244,0.27244,0.0014078936266636057,100,false,1234
9,0.14,100000,29539,0.29539,0.0014426875888424353,100,false,1234
9,0.145,100000,31335,0.31335,0.0014668393828228092,100,false,1234
9,0.15,100000,33089,0.33089,0.0014879576872344187,100,false,1234
9,0.155,100000,34893,0.34893,0.001507242034644735,100,false,1234
9,0.16,100000,36728,0.36728,0.0015244192389234662,100,false,1234
