construction,error_channel,p_min,p_max,degree,distances,points,p_c,p_c_covariance_se,nu,nu_covariance_se,chi_square,degrees_of_freedom,reduced_chi_square,goodness_of_fit_p
as,z_only,0.022,0.03,2,9;11;13;15,20,0.026550372118616685,0.0002472843143748136,1.4620588748348835,0.12707050179864532,17.7475211365901,15,1.1831680757726735,0.27617169321102075
as,z_only,0.02,0.032,2,9;11;13;15,28,0.026715725004347372,0.00022500651799718088,1.5648780632239214,0.08871794379096752,22.63408821525791,23,0.9840907919677353,0.4822999894347928
as,z_only,0.018,0.034,2,9;11;13;15,36,0.026726662697434116,0.00020476133088824592,1.612935669621696,0.06546057715764586,25.868132405002903,31,0.8344558840323517,0.7276182466108276
as,z_only,0.016,0.036,2,9;11;13;15,44,0.026628685151382375,0.00019526193859940145,1.6747803817313316,0.053489687882258545,54.84281546882928,39,1.4062260376622893,0.047524450662667396
as,z_only,0.022,0.03,3,9;11;13;15,20,0.026550876811930153,0.0002470940297342241,1.4577694983334226,0.14833033341898424,17.74514824284771,14,1.2675105887748364,0.2186357233955116
as,z_only,0.02,0.032,3,9;11;13;15,28,0.02670089923717886,0.0002192427491748926,1.5059699746878814,0.09483267150945655,20.92930667329068,22,0.9513321215132127,0.5251107676717885
as,z_only,0.018,0.034,3,9;11;13;15,36,0.026718209396988046,0.00020185879877031594,1.5798924985415146,0.06961305948864827,24.592970201897323,30,0.8197656733965775,0.7445611349003239
as,z_only,0.016,0.036,3,9;11;13;15,44,0.026594918229069075,0.0001882389469595661,1.5953608307783669,0.053584169116512204,38.03823913506985,38,1.001006293028154,0.46774290362934534
bp,x_only,0.022,0.03,2,9;11;13;15,20,0.026287205405309357,0.0002796903286939039,1.66779748607349,0.1631612036846221,14.045327337418742,15,0.9363551558279162,0.5220942076995089
bp,x_only,0.02,0.032,2,9;11;13;15,28,0.026197805583463293,0.00021882665322730123,1.5394587857634283,0.08344740703103772,17.74325010461349,23,0.7714456567223257,0.7712632563266808
bp,x_only,0.018,0.034,2,9;11;13;15,36,0.026291111325281783,0.00019838692662004474,1.559965693246625,0.06038286811878185,32.02808225395178,31,1.033163943675864,0.41538475329951385
bp,x_only,0.016,0.036,2,9;11;13;15,44,0.026443357983727666,0.00018858305855130227,1.6123278961668117,0.04945965651165674,58.33278530314682,39,1.4957124436704312,0.023938520641671176
bp,x_only,0.022,0.03,3,9;11;13;15,20,0.026277602685819447,0.0002641791317291823,1.5330534704950727,0.17295219690866886,11.542213822523344,14,0.8244438444659531,0.6430138316596734
bp,x_only,0.02,0.032,3,9;11;13;15,28,0.026198149866484145,0.00021762096910739675,1.5271475573913813,0.09373199750292674,17.661780608883355,22,0.8028082094946979,0.7258423982941584
bp,x_only,0.018,0.034,3,9;11;13;15,36,0.026277084694401338,0.00019056892407362291,1.4782159555712318,0.06236182776245008,22.982481745776788,30,0.7660827248592262,0.8159793625794071
bp,x_only,0.016,0.036,3,9;11;13;15,44,0.02637921680087837,0.00018080543177241234,1.526015672827158,0.049340158753327194,34.05989830673834,38,0.8963131133352195,0.6522325777867777
