construction,error_channel,logical_observable,distance,p_x,p_z,shots,master_seed,series_seed,logical_failures,logical_failure_rate,logical_failure_standard_error,logical_state,boundary_orientation,clock
as,x_only,logical_x,9,0.0,0.0,50000,1235,2626298694903912375,0,0.0,0.0,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.002,0.0,50000,1235,2626298694903912375,6045,0.1209,0.0014579656374551493,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.004,0.0,50000,1235,2626298694903912375,10128,0.20256,0.001797383912245795,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.006,0.0,50000,1235,2626298694903912375,12498,0.24996,0.001936388382530736,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.008,0.0,50000,1235,2626298694903912375,14236,0.28472,0.0020181898899756683,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.01,0.0,50000,1235,2626298694903912375,15433,0.30866,0.002065860616789042,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.012,0.0,50000,1235,2626298694903912375,16363,0.32726,0.002098384580576211,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.014,0.0,50000,1235,2626298694903912375,17206,0.34412,0.002124624322556814,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.016,0.0,50000,1235,2626298694903912375,17814,0.35628,0.0021417028813539942,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.018,0.0,50000,1235,2626298694903912375,18471,0.36942,0.0021584664166949645,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.02,0.0,50000,1235,2626298694903912375,18784,0.37568,0.0021658464285355043,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.022,0.0,50000,1235,2626298694903912375,19454,0.38908,0.00218035205230715,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.024,0.0,50000,1235,2626298694903912375,19713,0.39426,0.0021854933191387247,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.026,0.0,50000,1235,2626298694903912375,20074,0.40148,0.002192230871053503,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.028,0.0,50000,1235,2626298694903912375,20540,0.4108,0.002200197082081512,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.03,0.0,50000,1235,2626298694903912375,20782,0.41564,0.002204011753144706,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.032,0.0,50000,1235,2626298694903912375,21077,0.42154,0.0022083660403112524,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.034,0.0,50000,1235,2626298694903912375,21497,0.42994,0.0022140081138062708,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.036,0.0,50000,1235,2626298694903912375,21559,0.43118,0.002214785802735786,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.038,0.0,50000,1235,2626298694903912375,21876,0.43752,0.0022185411855541472,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.04,0.0,50000,1235,2626298694903912375,21885,0.4377,0.002218642422744143,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.042,0.0,50000,1235,2626298694903912375,22312,0.44624,0.002223105316443645,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.044,0.0,50000,1235,2626298694903912375,22461,0.44922,0.0022245061995867757,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.046,0.0,50000,1235,2626298694903912375,22663,0.45326,0.002226276588386987,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.048,0.0,50000,1235,2626298694903912375,22941,0.45882,0.002228471258957584,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.05,0.0,50000,1235,2626298694903912375,22826,0.45652,0.002227597313699224,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.052,0.0,50000,1235,2626298694903912375,22916,0.45832,0.002228285338999474,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.054,0.0,50000,1235,2626298694903912375,23166,0.46332,0.002230042948465343,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.056,0.0,50000,1235,2626298694903912375,23266,0.46532,0.0022306828443326497,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.058,0.0,50000,1235,2626298694903912375,23564,0.47128,0.0022323761403491124,plus,x_ns,gate_layer
